,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
83,Kentavious Caldwell-Pope,203484,12,27,24,0,19,0.0,0,2,0,"Kyle Kuzma, JaVale McGee, Danny Green, Kentavious Caldwell-Pope, LeBron James",38,10,13,4,13,0.6333333333333333,8,2019-20,LAL,0.0,2,26
84,LeBron James,2544,12,27,24,15,19,0.6818181818181818,6,4,2,"Kyle Kuzma, JaVale McGee, Danny Green, Kentavious Caldwell-Pope, LeBron James",38,10,13,4,13,0.6333333333333333,8,2019-20,LAL,41.666666666666664,10,26
85,Quinn Cook,1626188,4,10,9,3,2,0.75,0,2,0,"Quinn Cook, Alex Caruso, Jared Dudley, JaVale McGee, Kentavious Caldwell-Pope",13,5,5,1,2,0.9285714285714286,1,2019-20,LAL,22.5,2,7
86,Alex Caruso,1627936,4,10,9,0,2,0.0,0,0,0,"Quinn Cook, Alex Caruso, Jared Dudley, JaVale McGee, Kentavious Caldwell-Pope",13,5,5,1,2,0.9285714285714286,1,2019-20,LAL,0.0,0,7
87,Jared Dudley,201162,4,10,9,0,2,0.0,0,0,0,"Quinn Cook, Alex Caruso, Jared Dudley, JaVale McGee, Kentavious Caldwell-Pope",13,5,5,1,2,0.9285714285714286,1,2019-20,LAL,0.0,0,7
88,JaVale McGee,201580,4,10,9,2,2,1.0,1,0,1,"Quinn Cook, Alex Caruso, Jared Dudley, JaVale McGee, Kentavious Caldwell-Pope",13,5,5,1,2,0.9285714285714286,1,2019-20,LAL,15.0,1,7
89,Kentavious Caldwell-Pope,203484,4,10,9,8,2,1.0,4,0,0,"Quinn Cook, Alex Caruso, Jared Dudley, JaVale McGee, Kentavious Caldwell-Pope",13,5,5,1,2,0.9285714285714286,1,2019-20,LAL,60.0,4,7
90,Quinn Cook,1626188,3,4,4,3,3,0.75,1,1,0,"Quinn Cook, Alex Caruso, Jared Dudley, LeBron James, Dwight Howard",7,2,4,1,1,0.7,0,2019-20,LAL,56.25,2,5
91,Alex Caruso,1627936,3,4,4,0,3,0.0,1,0,0,"Quinn Cook, Alex Caruso, Jared Dudley, LeBron James, Dwight Howard",7,2,4,1,1,0.7,0,2019-20,LAL,0.0,1,5
92,Jared Dudley,201162,3,4,4,0,3,0.0,0,0,0,"Quinn Cook, Alex Caruso, Jared Dudley, LeBron James, Dwight Howard",7,2,4,1,1,0.7,0,2019-20,LAL,0.0,0,5
