,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
53,Anthony Edwards,1630162,2,5,4,3,7,0.75,1,1,0,"D'Angelo Russell, Karl-Anthony Towns, Jordan McLaughlin, Anthony Edwards, Jaden McDaniels",6,0,2,2,2,0.75,0,2021-22,MIN,45.0,2,4
54,Jaden McDaniels,1630183,2,5,4,0,7,0.0,0,0,0,"D'Angelo Russell, Karl-Anthony Towns, Jordan McLaughlin, Anthony Edwards, Jaden McDaniels",6,0,2,2,2,0.75,0,2021-22,MIN,0.0,0,4
55,D'Angelo Russell,1626156,5,12,12,0,12,0.0,2,1,0,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Anthony Edwards, Patrick Beverley",7,1,6,1,5,0.2916666666666667,2,2021-22,MIN,0.0,3,11
56,Karl-Anthony Towns,1626157,5,12,12,0,12,0.0,1,0,0,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Anthony Edwards, Patrick Beverley",7,1,6,1,5,0.2916666666666667,2,2021-22,MIN,0.0,1,11
57,Malik Beasley,1627736,5,12,12,2,12,0.25,3,1,0,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Anthony Edwards, Patrick Beverley",7,1,6,1,5,0.2916666666666667,2,2021-22,MIN,12.5,4,11
58,Anthony Edwards,1630162,5,12,12,3,12,0.75,0,2,0,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Anthony Edwards, Patrick Beverley",7,1,6,1,5,0.2916666666666667,2,2021-22,MIN,18.75,2,11
59,Patrick Beverley,201976,5,12,12,2,12,0.5,0,1,2,"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Anthony Edwards, Patrick Beverley",7,1,6,1,5,0.2916666666666667,2,2021-22,MIN,12.5,1,11
60,D'Angelo Russell,1626156,25,55,54,10,47,1.0,3,2,2,"D'Angelo Russell, Karl-Anthony Towns, Anthony Edwards, Jaden McDaniels, Patrick Beverley",63,11,25,10,17,0.6702127659574468,13,2021-22,MIN,13.636363636363637,5,42
61,Karl-Anthony Towns,1626157,25,55,54,10,47,0.5555555555555556,7,1,2,"D'Angelo Russell, Karl-Anthony Towns, Anthony Edwards, Jaden McDaniels, Patrick Beverley",63,11,25,10,17,0.6702127659574468,13,2021-22,MIN,13.636363636363637,8,42
62,Anthony Edwards,1630162,25,55,54,10,47,0.38461538461538464,7,4,4,"D'Angelo Russell, Karl-Anthony Towns, Anthony Edwards, Jaden McDaniels, Patrick Beverley",63,11,25,10,17,0.6702127659574468,13,2021-22,MIN,13.636363636363637,11,42
63,Jaden McDaniels,1630183,25,55,54,18,47,0.8181818181818182,3,6,4,"D'Angelo Russell, Karl-Anthony Towns, Anthony Edwards, Jaden McDaniels, Patrick Beverley",63,11,25,10,17,0.6702127659574468,13,2021-22,MIN,24.545454545454547,9,42
64,Patrick Beverley,201976,25,55,54,15,47,0.8333333333333334,5,4,1,"D'Angelo Russell, Karl-Anthony Towns, Anthony Edwards, Jaden McDaniels, Patrick Beverley",63,11,25,10,17,0.6702127659574468,13,2021-22,MIN,20.454545454545453,9,42
