,Unnamed: 0,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
85,,Karl-Anthony Towns,1626157,276,520,522,163,503,0.5506756756756757,130,7,27,"Karl-Anthony Towns, Ricky Rubio, Andrew Wiggins, Tayshaun Prince, Kevin Garnett",546,201,407,17,57,0.5270793036750484,120,2015-16,MIN,23.509615384615383,137,464
90,,Karl-Anthony Towns,1626157,24,47,49,18,60,0.6428571428571429,13,1,1,"Karl-Anthony Towns, Ricky Rubio, Shabazz Muhammad, Andrew Wiggins, Tayshaun Prince",42,15,37,2,8,0.4375,7,2015-16,MIN,28.72340425531915,14,45
95,,Gorgui Dieng,203476,47,86,93,11,99,0.6111111111111112,7,0,4,"Gorgui Dieng, Shabazz Muhammad, Zach LaVine, Adreian Payne, Kevin Martin",95,30,62,5,15,0.5402298850574713,24,2015-16,MIN,9.593023255813954,7,77
100,,Karl-Anthony Towns,1626157,67,134,128,44,106,0.6111111111111112,34,0,7,"Karl-Anthony Towns, Ricky Rubio, Nemanja Bjelica, Andrew Wiggins, Tayshaun Prince",136,47,102,1,14,0.5037037037037037,50,2015-16,MIN,24.62686567164179,34,116
105,,Karl-Anthony Towns,1626157,27,49,52,21,52,0.7,15,0,1,"Karl-Anthony Towns, Ricky Rubio, Adreian Payne, Andrew Wiggins, Tayshaun Prince",47,20,37,0,5,0.5108695652173914,9,2015-16,MIN,32.142857142857146,15,42
110,,Tyus Jones,1626145,22,43,42,5,34,0.5,3,1,2,"Tyus Jones, Karl-Anthony Towns, Gorgui Dieng, Zach LaVine, Andrew Wiggins",55,22,34,0,4,0.6395348837209303,12,2015-16,MIN,8.720930232558139,4,38
115,,Karl-Anthony Towns,1626157,27,59,57,14,66,0.5384615384615384,12,0,2,"Karl-Anthony Towns, Nemanja Bjelica, Shabazz Muhammad, Zach LaVine, Andrew Wiggins",56,20,43,1,7,0.4827586206896552,16,2015-16,MIN,17.796610169491526,12,50
120,,Tyus Jones,1626145,28,52,57,3,67,0.375,3,0,2,"Tyus Jones, Karl-Anthony Towns, Nemanja Bjelica, Shabazz Muhammad, Tayshaun Prince",72,28,45,3,8,0.631578947368421,9,2015-16,MIN,4.326923076923077,3,53
125,,Karl-Anthony Towns,1626157,122,245,245,63,261,0.6176470588235294,43,4,8,"Karl-Anthony Towns, Ricky Rubio, Andrew Wiggins, Kevin Martin, Kevin Garnett",248,78,171,12,34,0.5166666666666667,74,2015-16,MIN,19.285714285714285,47,205
130,,Nemanja Bjelica,202357,74,140,140,21,163,0.525,10,9,4,"Nemanja Bjelica, Gorgui Dieng, Shabazz Muhammad, Zach LaVine, Tayshaun Prince",149,45,89,9,24,0.5775193798449613,38,2015-16,MIN,11.25,19,113
135,,Nemanja Bjelica,202357,50,99,102,14,112,0.875,1,7,0,"Nemanja Bjelica, Gorgui Dieng, Shabazz Muhammad, Zach LaVine, Andrew Wiggins",106,30,60,8,20,0.5698924731182796,31,2015-16,MIN,10.606060606060606,8,80
140,,Tyus Jones,1626145,41,80,82,11,83,0.2619047619047619,11,7,6,"Tyus Jones, Nemanja Bjelica, Greg Smith, Shabazz Muhammad, Tayshaun Prince",72,27,60,3,17,0.43902439024390244,11,2015-16,MIN,10.3125,18,77
145,,Karl-Anthony Towns,1626157,648,1318,1318,391,1484,0.6388888888888888,249,31,62,"Karl-Anthony Towns, Ricky Rubio, Gorgui Dieng, Zach LaVine, Andrew Wiggins",1510,457,847,101,243,0.604903536977492,344,2015-16,MIN,22.249620637329286,280,1090
150,,Karl-Anthony Towns,1626157,262,501,497,163,557,0.6037037037037037,113,13,24,"Karl-Anthony Towns, Ricky Rubio, Gorgui Dieng, Andrew Wiggins, Tayshaun Prince",543,198,392,19,60,0.5344488188976378,126,2015-16,MIN,24.40119760479042,126,452
155,,Tyus Jones,1626145,30,56,60,2,85,0.1111111111111111,8,1,0,"Tyus Jones, Nemanja Bjelica, Gorgui Dieng, Shabazz Muhammad, Zach LaVine",57,17,35,6,15,0.5377358490566038,7,2015-16,MIN,2.6785714285714284,9,50
160,,Kris Dunn,1627739,37,78,83,9,76,0.4090909090909091,8,2,3,"Kris Dunn, Nemanja Bjelica, Gorgui Dieng, Shabazz Muhammad, Andrew Wiggins",81,21,53,6,20,0.48214285714285715,25,2016-17,MIN,8.653846153846153,10,73
